DOCUMENT_NO,NARRATIVE,label,DEGREE_INJURY,IMMED_NOTIFY,ACTIVITY,OCCUPATION,SUBUNIT,CLASSIFICATION,MINE_ID,CONTRACTOR_ID,CAL_YR
220260890035,"The employee was shutting off wash down hydrant with a T handle. The threaded flange connecting the casing split in half, shooting all 6 feet of the stem upward into the employee's face splitting EE's lip open requiring sutures.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2401747,,2026
220260540025,At 7:05am it was discovered that the wildfire originating off-property had spread onto the west and north boundary lines of the property. The fire did not result in any property damage or injuries to employees. Facility was able to reopen the following day.,1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",FIRE,4103599,,2026
220261970007,"On 7/8/26 at approximately 8AM EE was injured from a screen on the crusher, resulting in 3 puncture wounds to EE's leg. EE refused to go to a doctor at that time. On 7/13/26 EE decided to go to a clinic. EE had an infection and was given a tetanus shot and oral antibiotics. The doctor didn't give EE any time off and EE returned to work the same day.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4105676,,2026
220260370017,"While performing a drilling task, the operator was applying manual pressure to the tool. The drill bit snapped unexpectedly under tension. The sudden release of resistance caused the operator's hand to lunge forward, striking the jagged edge of the broken bit and resulting in a puncture wound to the right index finger.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (powered),"Utility man, Shift tech, Service/Dump truck operator",MILL OPERATION/PREPARATION PLANT,MACHINERY,4201429,,2026
220261890022,A roof fall occurred at XC 62 in the N.M. Return #3 entry.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1103141,,2026
220260890094,"IP was transferring process solution (mix of sulfuric acid, dipotassium phosphate, and ammonium sulfate) from one tank to another using a pump and hoses. During transfer a solution splash contacted IP's left eye. First aid eye flushing was administered and IP was transported to medical facility for additional flushing. No permanent damage or impairment.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Quality control technician, Laboratory technician, Laboratory assistant",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,0202824,C7688,2026
220261250004,Employee was using a dead blow hammer to clear salt on the the 3rd screen bank and hit EE's left pinky finger.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Miner, NEC",UNDERGROUND,HANDTOOLS (NONPOWERED),1600358,,2026
220261800022,Luminant mechanic was using an impact wrench to loosen a bolt overhead while working on a railcar and received a foreign object in their eye. Was evaluated off-site by medical professional to have object removed and received a prescription.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",MACHINERY,4104586,,2026
220260920042,"Found an issue with the 5th floor door flag so it was adjusted. They also adjusted the contacts on the flag on the 7th floor. They then rode the elevator to confirm the issue was resolved. Once they were comfortable, they turned it over to the plant operations to resume operations and monitored the elevator form the machine room for some time to confirm everything was working.",1,ACCIDENT ONLY,ENTRAPMENT,NO VALUE FOUND,NO VALUE FOUND,MILL OPERATION/PREPARATION PLANT,ENTRAPMENT,1400034,,2026
220261940027,The EE was performing services on the AC condenser of a 770 Caterpillar haul truck. The EE right hand slipped during repair and came into contact with the condenser fan causing a laceration to their right pinky finger that required stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",MACHINERY,4105489,CX2,2026
220260400011,"Plant employee was using a utility knife to cut holes in skirt rubber for installation on screen shaker. During the cutting process, the tip of the blade broke, causing the knife to slip and resulting in a laceration to the employee's left arm above the wrist. The employee received 6 staples for the injury and placed on light duty for seven days.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),4104706,,2026
220260710006,"IE was removing the boost valve from shield 100 with a pry bar, when the valve freed it swung on the four connected hoses and hit EE in the mouth, breaking EE's front tooth.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Electrician, Lineman",UNDERGROUND,HANDTOOLS (NONPOWERED),0503505,,2026
220260900007,"Employee was gripping a screen by putting EE's fingers through the openings to lift it. As EE was picking it up, it caught against another screen as EE pulled up, it came loose dropping and pinching EE's finger between the two. Employee sustained a cut to a finger on EE's left hand and received six stitches.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,4000102,,2026
220260480009,Employee was reinstalling the bonnet on the 307-A motor. During this process EE felt a strain in the lower left side of EE's back. EE reported it to EE's supervisor and continued working until 10:30 pm. The next morning EE felt stiff and was experiencing some discomfort so EE went to the local clinic. EE was diagnosed with a muscle strain and prescribed a mild muscle relaxer.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Electrical maintenance,"Electrician, Lineman",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,4102781,,2026
220262220019,Employee was preparing conveyor belt for a vulcanized splice when they knelt onto a razor knife causing a laceration to their right knee resulting in three sutures.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,Belt vulcanizer,MILL OPERATION/PREPARATION PLANT,STEPPING OR KNEELING ON OBJECT,4601318,B0034,2026
220260650013,The employee had noticed red on the under part of their eyes 2/18/2026 at the end of their shift and over the next couple of days a rash appeared and on 3/4/2026 the employee reported the injury when coming back to work due to the condition not improving.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Unknown,"Froth cell operator, Flotation mill operator, Concetrator operator",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,0200024,,2026
220260770023,"Morenci Mill Maintenance employee was in the belt shop attempting to cut some skirting for a belt job. As they began to cut using the Olfa knife, the knife slipped cutting into the A6 rated glove and HexArmor sleeve into the employees left thumb, side cutting the skin next to the nail.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),0200024,,2026
220262430001,"The employee was kneeling on EE's right knee at the secondary crusher and using a box knife EE was cutting conveyor belt material toward self. As EE neared completion of the cut, the knife slipped out of the rubber and traveled into EE's right mid-thigh, causing a puncture wound. This resulted in needing two stitches to the laceration.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),Water truck operator,"STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),4105669,,2026
220260630023,Was Changing support rollers on 57101 Clinker Pan conveyor. Was using standard steel 3lb sledgehammer to drive the rollers into the bracket on the pan. The hammer glanced off the end of the roller and struck the heat-treated flange of the roller causing a shard of steel to break off and lodge in leg. The employee was taken to clinic and released back to work with no restrictions.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),0504822,,2026
220261660016,EE had a piece of metal fall on EE's right ring finger while working on a continuous miner. EE received 3 stitches and was diagnosed with a fracture to EE's right ring finger.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Electrician, Lineman",UNDERGROUND,HANDLING OF MATERIALS,4604236,,2026
220261680025,Employee was installing a roof bolt when the plate slid down striking EE's left forearm causing a laceration. EE received four sutures and a full release with no restrictions to return EE's next shift.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Roof bolter, NEC","Roof bolter, Rock bolter,  Pinner, Mobile roof support operator (MRS)",UNDERGROUND,HANDLING OF MATERIALS,1502709,,2026
220261730053,"Employee was driving the Probe truck past Drill 10 and believed the space was tight. EE contacted the Pit Foreman, who confirmed there was enough room. A wet area caused EE to move closer, and the truck equipment contacted the drill. EE reported the incident; minor damage occurred. No injuries were reported.",0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,2101600,,2026
220260970035,"Two employees were performing patch work on a chute while cutting a existing piece of metal approx 1'x1' approx 3/8"" thick off the piece of metal hinged and swung roughly 4' and fell 4' onto the EEs foot. The sharpe corner of the metal penetrated their boot and cut the top of their foot.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Welding or cutting,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,MACHINERY,2300288,,2026
220260290002,"Ee was changing an impact slide on stacker #2. Impact slide fell, smashing ee's pinky. Seen at ER, xrays negative for fracture, wound closed with sutures, and ee released to full duty.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2600827,,2026
220261210011,Employee inspecting a hose stood up in a confined space and struck their hard hat on a frame causing their jaw to snap shut and chip a tooth with a minor gum laceration.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Inspect equipment or mine,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",STRIKING OR BUMPING,0200144,,2026
220260970019,"Employee was crawling out of CR02 chute after using a jack hammer to break rock plugging chute. Employee was pushing the jackhammer in front of EE. it caught a rock causing the bit end to pop up towards the employee, striking EE in the teeth. resulting in a broken tooth.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,0200150,,2026
220261660009,"While working on the shift linkage of an f150 pickup, the truck rolled and struck the employee's right shoulder.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",FALLING/SLIDING/ROLLING MATERIALS,0800545,,2026
220262220021,Employee hand was contacted by a ladder as it was raised. Employee was treated at the hospital for a finger injury requiring medical treatment to reset a dislocated joint and closure of the wound.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4801034,,2026
220260620006,Miner was cutting a belt using a box blade and cut self.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),4503119,,2026
220261730040,There was an unplanned roof fall in the #9 1st South Corridor at XC40 in the #3 entry.,0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1517216,,2026
220262180014,"A mobile maintenance mechanic was changing out a grease barrel on a lube truck and when they were picking up the pump and lid to reinstall it on the drum, they lost grip of the pump and when they attempted to catch it, the sharp edge of the lid on the pump caused a laceration on their left thumb requiring two sutures.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",UNDERGROUND,HANDLING OF MATERIALS,1000088,,2026
220261760001,An Unplanned Fall of Ground occurred at the 4725 - 102 Axs. No injuries or entrapment occurred from this event.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,2602689,,2026
220261050020,Employee was replacing a poly liner and was using a drill to pilot a hole. Misplaced where their hand was on the opposite side and the drill made contact with their hand resulting in a cut that required 2 stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",MACHINERY,3900305,,2026
220262360018,"An unintentional roof fall was discovered on 9 North Mains in the Primary Escapeway (Intake), #3 and #4 Entries, from Brk #37 to Brk #38. The fall is approximately 20 ft. thick. All affected personnel were removed outby the fall, except those required to perform support work. No injuries or entrapments occurred. MSHA and WVMHST Officials were notified and are currently on-site.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4608759,,2026
220260430001,"Using hammer to remove ball bearing from shaft, a small piece of metal (less than 3mm) went into skin in neck area",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),2300226,,2026
220261750005,"Employee was ascending the stairs in Office Building keeping three points of contact. While approximately on the fourth step, the employee lost balance and fell backward down the stairway landing on the lower floor level and reported pain and discomfort to the hand and tailbone area. No slip, trip hazard, obstruction, or defect with the stairway was identified.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Clerk, Timekeeper, Office worker, Director of sales",OFFICE WORKERS AT MINE SITE,SLIP OR FALL OF PERSON,0801287,,2026
220262300004,Miner was assisting in dry plant with return rollers for the 3101 belt. As miner was passing the roller EE grabbed it in a pinch point area. When grabbing the roller the metal cut EE's glove and hand.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4105359,,2026
220260130023,"employee was starting up the plant. couldn't get dryer to start up. They locked out the power to the dryer, and went to try and turn it manually. While turning it their thumb got caught and they got a cut.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Prep plant foreman, Supervisor, Mill plant supervisor, Kiln supervisor","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,0800408,,2026
220261030005,"At approximately 10:35 PM on 4/1/26 smoke was observed inside the refinery via camera feed in the AARL Control Room. Security was notified. By 10:50 PM the affected cells were fully engulfed. Fire suppression was activated at 11:01 PM, and the fire was fully extinguished by 12:25 AM. No personnel were inside the refinery, and no injuries occurred during incident.",1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,MILL OPERATION/PREPARATION PLANT,FIRE,2600500,,2026
220262290001,Injured was placing wear liners inside of impact crusher. The liner got caught on a ledge and the injured felt discomfort while freeing the liner. Injured was diagnosed with a hernia on 08/04/2026.,1,PERM TOT OR PERM PRTL DISABLTY,NO VALUE FOUND,Machine maintenance,Superintendent,MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,2302157,K240,2026
220261490007,"Miner was assisting in changing out a screen. The screen slipped while being moved into place and struck the miner's hard hat. The hard hat slipped over EE's face and impacted EE's nose, breaking it.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Greaser, Grease man, Oiler, Lube man, Dragline oiler","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4201661,,2026
220261560004,"Employee was changing out draw bar on motor when EE pinched EE's finger. Mining systems was not a factor, compliance with rules and regulations was not a factor. PPE was a factor.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Motorman, Motor person, Swamper, Switchman, Locomotive operator",UNDERGROUND,HANDLING OF MATERIALS,4601437,,2026
220261470004,Employee was standing next to a welder torching a bolt. Welder turned hit employee's left hand and burned left hand. Burn caused a second-degree burn. .,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Idle,"Assayer, Geologist, Metallurgist, Engineer, Engineer management",SURFACE AT UNDERGROUND,MACHINERY,3003255,,2026
220262240005,"While working on a scissor deck, an employee's right index finger was struck by a 6-inch by 7-inch rock that fell from wire cut for a cable bolt insertion. The finger was resting on the pipe handler, resulting in a laceration that required sutures. The employee was wearing cut- and impact-resistant gloves.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Underground equipment, NEC","Miner, NEC",UNDERGROUND,FALL OF ROOF OR BACK,3800600,M445,2026
220261940029,"EE was sitting in cab of haul truck. They put their middle finger in the hole of the A/C vent and their finger was cut by the fan. Seen at ER, diagnosed with laceration to the right middle finger and put on restrictions that do not preclude full duty.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Idle,"Miner, NEC",UNDERGROUND,MACHINERY,2602246,,2026
220260700005,"An ignition occurred in 9 South Left mains miner section. They had mined through an abnormal rock intrusion. During a non-coal cutting period, the conveyor chain was started and caused an ignition at the miner.",1,ACCIDENT ONLY,GAS OF DUST IGNITION,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,IGNITION OR EXPLOSION OF GAS OR DUST,3610045,,2026
220260350055,"A Maintenance Foreman and a passenger was in the process of traveling from 9 Vent bottom to 17 East section to work on high voltage power line. While in the second block light of the 5 North back track, at crosscut #44 it is believed that the injured employee's cap light struck a low spot on the mine roof (57 inches) causing trauma to their neck and vertebrae.",1,DYS AWY FRM WRK & RESTRCTD ACT,SERIOUS INJURY,Mantrip,"Belt foreman, Maintenance foreman, Maintenance supervisor",UNDERGROUND,POWERED HAULAGE,4404856,,2026
220261470010,Employee lost control of grinder and cut EE's leg.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Grinding,"Steel worker, Iron metal worker, Iron worker","STRIP, QUARY, OPEN PIT",MACHINERY,2103751,C5553,2026
220261620012,"Two employees were moving pallets of DEF (Diesel Exhaust Fluid). One employee was using a pallet jack and the other employee was operating a forklift. The pallet jack became stuck under a pallet of DEF. The employee pulled forcefully on the pallet jack, it came free and the employee stumbled back hitting EE's back on the end of one of the raised forks of the forklift.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,3402233,,2026
220260230021,"Employee was working in a dusty environment. Later in the shift, they felt their eye irritated. At the end of shift, they flushed with eye wash solution. The next day, the eye condition remained the same, irritated. The following morning, they notified management that they wanted to go the clinic to have it checked out. At the clinic, employee was prescribed a steroid.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,Welder (non-shop),MILL OPERATION/PREPARATION PLANT,OTHER,4101335,,2026
220260920007,Employee states EE was welding on 3/27/2026 when a spark went under and in welding jacket. Employee states EE brushed it off and went about EE's normal day. EE reported that EE's injury may be infected on 3/30/2026 and was taken to a clinic for evaluation and prescribed antibiotic cream. No work restrictions were given to employee.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Welding or cutting,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,MACHINERY,2400015,,2026
220261390017,"Employee was jack hammering during clean up and felt a piece of material or dust fall in EE's eye. Immediately washed-out eye but swelled up overnight and following morning took EE to the clinic to be seen and employee had a scratch to EE's eye. ""Abrasion of left cornea""",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,MACHINERY,4100079,,2026
220261040013,Employee rolled their right ankle while walking around plant.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,0405127,,2026
220261210022,"Employee reported that dust entered under their safety glasses flushed their eyes using an eyewash bottles. The employee declined medical evaluation at the clinic at the time. With continuing issues, the employee was later evaluated and given prescription eyedrops.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,0200024,,2026
220261030012,"The SP Elevator was taken out of service due to an area of concern found in 2 ropes during the NDT tests. The elevator ropes are being replaced, the elevator will be tested, and placed back into service.",1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,SURFACE AT UNDERGROUND,HOISTING,0100851,,2026
220261000005,"Shear Operator was spotting a shield to catch rock on the LW face, a piece of rock rolled out into the panline and hit the spill board and a piece of rock measuring 54""x14""x3-8"" broke off after striking the spill board and fell into the walkway and struck the the employee on the right side of right foot causing a laceration which required 2 staples to close.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Longwall, Shear, Plow","Longwall operator, Chock operator, Shear operator, Plow operator",UNDERGROUND,MACHINERY,4404856,,2026
220261260017,"4/28-First Aid EE was tightening the bolts on the 3"" inch flange pump when heard a pop sounded followed by a very strong & painful cramping in the right bicep. Followed by throbbing pain and reddish bruising forming on the right bicep. 5/5 -Went recordable due to PT",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",DREDGE,HANDTOOLS (NONPOWERED),2302035,,2026
220261140006,"Over the road driver was removing a tow rope from the mounted bracket on a loader. Employee began lifting the tow rope overhead when they felt a pop in their left shoulder, followed by immediate discomfort in that shoulder. Employee was evaluated and diagnosed with a strain to their left shoulder.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,3503237,,2026
220260990033,EE middle left finger fractured when struck between bucket tooth and shank of WA800 loader,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,3800016,,2026
